,id,Company,Rocket,Mission,Price
2938,2938,Arianespace,Ariane 44L,"Inmarsat 3 F4, Insat 2D",140.87596899224806
2939,2939,CASC,Long March 3,Fengyun-2A,39.13066945606695
2940,2940,Arianespace,Ariane 44P,Intelsat 802,140.87596899224806
2941,2941,NASA,Space Shuttle Columbia,STS-94,450.0
2942,2942,Boeing,Delta II 7920-10C,MS-2,177.28571428571428
2943,2943,Boeing,Delta II 7925,USA-132 (GPS IIR-2),177.28571428571428
2944,2944,ILS,Atlas IIAS,Superbird C,101.53846153846153
2945,2945,Northrop,Pegasus XL,OrbView-2,40.0
2946,2946,NASA,Space Shuttle Discovery,STS-85,450.0
2947,2947,Arianespace,Ariane 44P,Panamsat-6,140.87596899224806
2948,2948,CASC,Long March 3B,Agila-2,39.13066945606695
2949,2949,Boeing,Delta II 7920-10C,MS-3,177.28571428571428
2950,2950,Lockheed,Athena I,Lewis,35.0
2951,2951,Boeing,Delta II 7920-8,Advanced Composition Explorer,177.28571428571428
2952,2952,Northrop,Pegasus XL,FORTE,40.0
2953,2953,CASC,Long March 2C,Iridium mass simulator A&B,30.8
2954,2954,Arianespace,Ariane 44LP,"Hot Bird 3, Meteosat 7",140.87596899224806
2955,2955,ILS,Atlas IIAS,GE-3,101.53846153846153
2956,2956,VKS RF,Cosmos-3M (11K65M),Cosmos 2346 & FAISAT-2V,36.57038461538461
2957,2957,Arianespace,Ariane 44LP,Intelsat 803,140.87596899224806
2958,2958,VKS RF,Molniya-M /Block ML,Molniya-1T nâ Â­166,36.57038461538461
2959,2959,NASA,Space Shuttle Atlantis,STS-86,450.0
2960,2960,Boeing,Delta II 7920-10C,MS-4,177.28571428571428
2961,2961,ISRO,PSLV-G,IRS-1D,25.0
2962,2962,ILS,Atlas IIAS,Echostar 3,101.53846153846153
2963,2963,Lockheed,Titan IV(401)B,Cassini???Huygens,35.0
2964,2964,CASC,Long March 3B,Apstar 2R,39.13066945606695
2965,2965,Northrop,Pegasus XL,STEP-4,40.0
2966,2966,Lockheed,Titan IV(403)A,NROL-3 (Lacrosse),35.0
2967,2967,Lockheed,Atlas IIA,DSCS IIIB-13,35.0
2968,2968,ESA,Ariane 5 G,"MaqSat-H, TEAMSAT, MaqSat-B, YES",37.0
2969,2969,AEB,VLS-1,SCD-2A,
2970,2970,Boeing,Delta II 7925,USA-134 (GPS IIA-19),177.28571428571428
2971,2971,Lockheed,Titan IV(401)A,NROL-4 (Trumpet),35.0
2972,2972,Boeing,Delta II 7920-10C,MS-5,177.28571428571428
2973,2973,NASA,Space Shuttle Columbia,STS-87,450.0
2974,2974,MHI,H-II,TRMM & Orihime/Hikoboshi,95.1923076923077
2975,2975,Arianespace,Ariane 44P,"JCSAT-5, Equator S",140.87596899224806
2976,2976,CASC,Long March 2C,Iridium 42 & 44,30.8
2977,2977,ILS,Atlas IIAS,Galaxy 8i,101.53846153846153
2978,2978,VKS RF,Tsyklon-2,Cosmos 2347,36.57038461538461
2979,2979,Arianespace,Ariane 44L,"Sirius-2, Cakrawarta-1",140.87596899224806
2980,2980,Boeing,Delta II 7920-10C,MS-6,177.28571428571428
2981,2981,Arianespace,Ariane 42L,Intelsat 804,140.87596899224806
2982,2982,Northrop,Pegasus XL/HAPS,Orbcomm A1-A8,40.0
2983,2983,MITT,Start-1,Earlybird 1,
2984,2984,ILS,Proton K/Block DM-3,PAS-22,101.53846153846153
2985,2985,Lockheed,Athena II,Lunar Prospector,35.0
2986,2986,Boeing,Delta II 7925,Skynet 4D,177.28571428571428
2987,2987,NASA,Space Shuttle Endeavour,STS-89,450.0
2988,2988,IAI,Shavit,Ofek-4,
2989,2989,Lockheed,Atlas IIA,NROL-5/SDS,35.0
2990,2990,Arianespace,Ariane 44LP,"Brasilsat B3, Inmarsat-3 F5",140.87596899224806
2991,2991,Northrop,Minotaur C (Taurus),GFO & Orbcomm 11 and 12,45.0
2992,2992,Boeing,Delta II 7420-10C,Globalstar-1,177.28571428571428
2993,2993,Boeing,Delta II 7920-10C,MS-7,177.28571428571428
2994,2994,MHI,H-II,Kakehashi,95.1923076923077
2995,2995,Northrop,Pegasus XL,SNOE & BATSAT,40.0
2996,2996,Arianespace,Ariane 42P,Hot Bird 4,140.87596899224806
2997,2997,ILS,Atlas IIAS,Intelsat 806,101.53846153846153
2998,2998,Lockheed,Atlas II,UHF F8,35.0
2999,2999,Arianespace,Ariane 40,SPOT-4,140.87596899224806
3000,3000,CASC,Long March 2C,Iridium 51 & 61,30.8
3001,3001,Boeing,Delta II 7920-10C,MS-8,177.28571428571428
3002,3002,Northrop,Pegasus XL,TRACE,40.0
3003,3003,NASA,Space Shuttle Columbia,STS-90,450.0
3004,3004,Boeing,Delta II 7920-10C,Globalstar-2,177.28571428571428
3005,3005,Arianespace,Ariane 44P,"Nilesat-101, BSAT-1B",140.87596899224806
3006,3006,CASC,Long March 2C,Iridium 69 & 71,30.8
3007,3007,VKS RF,Molniya-M /Block 2BL,Cosmos 2351,36.57038461538461
3008,3008,Lockheed,Titan IV(401)B,NROL-6 (Mentor),35.0
3009,3009,Lockheed,Titan II(23)G,NOAA-15,35.0
3010,3010,Boeing,Delta II 7920-10C,MS-9,177.28571428571428
3011,3011,CASC,Long March 3B,ChinaStar 1,39.13066945606695
3012,3012,NASA,Space Shuttle Discovery,STS-91,450.0
3013,3013,Boeing,Delta II 7925,Thor III,177.28571428571428
3014,3014,VKS RF,Tsyklon-3,Cosmos 2352 to 2357,36.57038461538461
3015,3015,CASC,Long March 3B,SinoSat 1,39.13066945606695
3016,3016,ILS,Atlas IIAS,Intelsat 805,101.53846153846153
3017,3017,VKS RF,Molniya-M /Block ML,Molniya-3 nâ Â­167,36.57038461538461
3018,3018,ISAS,Mu-V / M-24,Nozomi,
3019,3019,SRC,Shtil',Tubsat,
3020,3020,VKS RF,Zenit-2,Resurs-O1 nâ Â­4 & Others,36.57038461538461
3021,3021,VKS RF,Zenit-2,Cosmos 2360,36.57038461538461
3022,3022,Northrop,Pegasus XL/HAPS,Orbcomm B1 - B8,40.0
3023,3023,Lockheed,Titan IV(401)A,NROL-7 (Mercury),35.0
