bet_id;Account_no;Bet_date;Class_ id;Category_id;Source;bet_count;bet_amt;win_amt;Product
1006;01152SJ   ;26/12/2012;22528_SALE;22528;I;0;0;493,5025;Casino
1007;01152SJ   ;27/12/2012;22527_SALE;22527;I;0;0;1859,4459;Poker
1008;01152SJ   ;27/12/2012;22528_SALE;22528;I;0;0;806,0617;Casino
1009;01196ZZ   ;24/09/2012;22522_SALE;22522;I;0;0;25;Vegas
1010;01196ZZ   ;20/10/2012;22528_SALE;22528;I;0;0;190;Casino
1011;01196ZZ   ;23/10/2012;22522_SALE;22522;I;0;0;25;Vegas
1012;01196ZZ   ;24/11/2012;22522_SALE;22522;I;0;0;45;Vegas
1013;01196ZZ   ;28/11/2012;22528_SALE;22528;I;0;0;375;Casino
1014;01196ZZ   ;08/12/2012;22522_SALE;22522;I;0;0;25;Vegas
1015;01196ZZ   ;15/12/2012;22522_SALE;22522;I;0;0;25;Vegas
1016;01196ZZ   ;19/12/2012;22522_SALE;22522;I;0;0;20;Vegas
1017;01284UW   ;15/10/2012;274;5;I;0;0;10003,5;Sportsbook
1018;01284UW   ;05/11/2012;424;17;I;1;0;0;Sportsbook
1019;01284UW   ;21/12/2012;46;5;I;0;0;103,71;Sportsbook
1020;01148BP   ;04/10/2012;2;9;I;2;-300;0;Sportsbook
